aquifer,description
100UDFD,CENOZOIC UNDIFFERENTIATED
110ALVM,ALLUVIUM (QUATERNARY)
110SNGR,SAND AND GRAVEL (QUATERNARY)
111ALVM,ALLUVIUM (HOLOCENE)
111SICL,HOLOCENE SILT AND CLAY
111SNGR,SAND AND GRAVEL (HOLOCENE)
112ALVF,ALLUVIAL FAN DEPOSITS - PLEISTOCENE
112ALVM,ALLUVIUM (PLEISTOCENE)
112DRFT,GLACIAL DRIFT
112OTSH,GLACIAL OUTWASH (PLEISTOCENE)
112SNGR,SAND AND GRAVEL (PLEISTOCENE)
112TRRC,TERRACE DEPOSITS (PLEISTOCENE)
120PLNC,PLUTONIC ROCKS (TERTIARY - CRETACEOUS)
120SDMS,SEDIMENTS (TERTIARY)
120SNGR,SAND AND GRAVEL (TERTIARY)
122MDSV,MADISON VALLEY FORMATION
123CBGA,CLIMBING ARROW FORMATION (OF BOZEMAN GROUP)
124ABSK,ABSAROKA VOLCANICS (EOCENE)
211CLRD,COLORADO SHALE OR FM. (OF COLORADO GROUP)
211DBTL,IDAHO BATHOLITH
211FRNR,FRONTIER FORMATION
211MRCK,MINER CREEK FORMATION (OF LIVINGSTON GROUP)
217KOTN,KOOTENAI FORMATION
217MWRY,MOWRY SHALE (OF COLORADO GROUP)
221MRSN,MORRISON FORMATION
330MDSN,MADISON GROUP OR LIMESTONE
371PLGM,PILGRIM LIMESTONE OR DOLOMITE
400LHOD,LAHOOD FORMATION
400MSSL,MISSOULA GROUP
500GNSC,GNEISS AND SCHIST (EARLY PROTEROZOIC OR ARCHEAN)
